text,text_clean,label_id,category,panjang_karakter,jumlah_kata,ada_angka,semua_kapital,jumlah_kata_kunci_cocok,kata_makanan,kata_minuman,kata_transportasi,kata_belanja,kata_tagihan,kata_hiburan,kata_kesehatan
Nasi Campur Bali,nasi campur bali,0,makanan,16,3,0,0,1,1,0,0,0,0,0,0
Bbk Bengil Nasi,bbk bengil nasi,0,makanan,15,3,0,0,1,1,0,0,0,0,0,0
MilkShake Starwb,milkshake starwb,1,minuman,16,2,0,0,2,1,1,0,0,0,0,0
Ice Lemon Tea,ice lemon tea,1,minuman,13,3,0,0,1,0,1,0,0,0,0,0
Nasi Ayam Dewata,nasi ayam dewata,0,makanan,16,3,0,0,1,1,0,0,0,0,0,0
Free Ice Tea,free ice tea,1,minuman,12,3,0,0,1,0,1,0,0,0,0,0
Organic Green Sa,organic green sa,7,lain_lain,16,3,0,0,0,0,0,0,0,0,0,0
Ice Tea,ice tea,1,minuman,7,2,0,0,1,0,1,0,0,0,0,0
Ice Orange,ice orange,1,minuman,10,2,0,0,1,0,1,0,0,0,0,0
Ayam Suir Bali,ayam suir bali,0,makanan,14,3,0,0,1,1,0,0,0,0,0,0
Tahu Goreng,tahu goreng,0,makanan,11,2,0,0,1,1,0,0,0,0,0,0
Tempe Goreng,tempe goreng,0,makanan,12,2,0,0,1,1,0,0,0,0,0,0
Tahu Telor Asin,tahu telor asin,0,makanan,15,3,0,0,1,1,0,0,0,0,0,0
Nasi Goreng Samb,nasi goreng samb,0,makanan,16,3,0,0,1,1,0,0,0,0,0,0
Bbk Panggang Sam,bbk panggang sam,0,makanan,16,3,0,0,1,1,0,0,0,0,0,0
Ayam Sambal Hija,ayam sambal hija,0,makanan,16,3,0,0,1,1,0,0,0,0,0,0
Hot Tea,hot tea,1,minuman,7,2,0,0,1,0,1,0,0,0,0,0
Ice Kopi,ice kopi,1,minuman,8,2,0,0,1,0,1,0,0,0,0,0
Bebek Street,bebek street,7,lain_lain,12,2,0,0,0,0,0,0,0,0,0,0
Ice Tea Tawar,ice tea tawar,1,minuman,13,3,0,0,1,0,1,0,0,0,0,0
SPGTHY BOLOGNASE,spgthy bolognase,7,lain_lain,16,2,0,1,0,0,0,0,0,0,0,0
PEPPER AUS,pepper aus,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
WAGYU RIBEYE,wagyu ribeye,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
ICED LEMON TEA,iced lemon tea,1,minuman,14,3,0,1,1,0,1,0,0,0,0,0
FUSION TEA LYCHE,fusion tea lyche,1,minuman,16,3,0,1,1,0,1,0,0,0,0,0
NUTTELA BROWNIES,nuttela brownies,1,minuman,16,2,0,1,1,0,1,0,0,0,0,0
HAKAU UDANG,hakau udang,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
SIAO MAI BABI,siao mai babi,0,makanan,13,3,0,1,1,1,0,0,0,0,0,0
CEKER AYAM,ceker ayam,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
BAKPAO BKR C CRISPY,bakpao bkr c crispy,7,lain_lain,19,4,0,1,0,0,0,0,0,0,0,0
TAHU GORENG CRISPY,tahu goreng crispy,0,makanan,18,3,0,1,1,1,0,0,0,0,0,0
Bintang Bremer,bintang bremer,7,lain_lain,14,2,0,0,0,0,0,0,0,0,0,0
Chicken H-H,chicken h h,0,makanan,11,3,0,0,1,1,0,0,0,0,0,0
Ades,ades,1,minuman,4,1,0,0,1,0,1,0,0,0,0,0
BASO BIHUN,baso bihun,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
Lasagna,lasagna,0,makanan,7,1,0,0,1,1,0,0,0,0,0,0
Spaghetti ChickPesto,spaghetti chickpesto,1,minuman,20,2,0,0,2,0,1,0,0,0,1,0
BangBang Chick Wings,bangbang chick wings,7,lain_lain,20,3,0,0,0,0,0,0,0,0,0,0
Iced Cappuccino,iced cappuccino,1,minuman,15,2,0,0,1,0,1,0,0,0,0,0
Gypsy Gelato Ice Tea,gypsy gelato ice tea,1,minuman,20,4,0,0,1,0,1,0,0,0,0,0
BASO TAHU,baso tahu,0,makanan,9,2,0,1,1,1,0,0,0,0,0,0
