text,label_id,category,sumber
Sabun,3,belanja,synthetic
Cappuccino,1,minuman,synthetic
GrabExpress,7,lain_lain,synthetic
Donasi,7,lain_lain,synthetic
TENIS,5,hiburan,synthetic
Grab,2,transportasi,synthetic
Nonton Film,5,hiburan,synthetic
Risotto,0,makanan,synthetic
Dokter,6,kesehatan,synthetic
Wahana,5,hiburan,synthetic
2xKebun Binatang,5,hiburan,synthetic
Baju,3,belanja,synthetic
Ayam Bakar,0,makanan,synthetic
Tiket Kereta,2,transportasi,synthetic
2 Formulir,7,lain_lain,synthetic
Sandal,3,belanja,synthetic
Cookie,0,makanan,synthetic
Karaoke,5,hiburan,synthetic
cappuccino,1,minuman,synthetic
Maxim,2,transportasi,synthetic
steam,5,hiburan,synthetic
Konsultasi Dokter,6,kesehatan,synthetic
Bus,2,transportasi,synthetic
Egg Tart,0,makanan,synthetic
Tagihan WiFi,4,tagihan,synthetic
BUS,2,transportasi,synthetic
2 Bensin,2,transportasi,synthetic
Transfer,7,lain_lain,synthetic
Kopi Mocha,1,minuman,synthetic
Tiket KRL,2,transportasi,synthetic
Gym,5,hiburan,synthetic
Taksi Online,2,transportasi,synthetic
Angkot,2,transportasi,synthetic
2 Top Up Mobile Legends,5,hiburan,synthetic
Jus Jeruk,1,minuman,synthetic
bpjs kesehatan,4,tagihan,synthetic
Textbook,3,belanja,synthetic
rok,3,belanja,synthetic
Kertas HVS,3,belanja,synthetic
Transjakarta,2,transportasi,synthetic
Gelato,0,makanan,synthetic
1 Es Dawet,1,minuman,synthetic
BPJS Kesehatan,4,tagihan,synthetic
Kopi Americano,1,minuman,synthetic
Bioskop,5,hiburan,synthetic
Voucher Game,5,hiburan,synthetic
Scan,7,lain_lain,synthetic
Print,7,lain_lain,synthetic
Bubble Tea,1,minuman,synthetic
Guardian,6,kesehatan,synthetic
Biaya Berobat,6,kesehatan,synthetic
Damri,2,transportasi,synthetic
Biaya Admin,4,tagihan,synthetic
E-Toll,2,transportasi,synthetic
JNE,7,lain_lain,synthetic
Vitamin C,6,kesehatan,synthetic
ESPRESSO,1,minuman,synthetic
1 Fried Noodle,0,makanan,synthetic
Token Listrik,4,tagihan,synthetic
Waffle,0,makanan,synthetic
Modul,3,belanja,synthetic
potong rambut,7,lain_lain,synthetic
Charger,3,belanja,synthetic
BIAYA TRANSFER,7,lain_lain,synthetic
Infaq,7,lain_lain,synthetic
Oolong Tea,1,minuman,synthetic
Sewa Kos,4,tagihan,synthetic
Kacamata,3,belanja,synthetic
Metromini,2,transportasi,synthetic
GrabCar,2,transportasi,synthetic
Kolam Renang,5,hiburan,synthetic
TIKET KONSER,5,hiburan,synthetic
SiCepat,7,lain_lain,synthetic
2 Obat Batuk,6,kesehatan,synthetic
2 Yakult,1,minuman,synthetic
ADOBE,4,tagihan,synthetic
Hansaplast,6,kesehatan,synthetic
top up ff,5,hiburan,synthetic
Futsal,5,hiburan,synthetic
JNT,7,lain_lain,synthetic
Tol,2,transportasi,synthetic
biaya periksa,6,kesehatan,synthetic
Formulir,7,lain_lain,synthetic
Microsoft 365,4,tagihan,synthetic
Wonton,0,makanan,synthetic
Es Matcha,1,minuman,synthetic
nasi padang,0,makanan,synthetic
Kaos,3,belanja,synthetic
Festival,5,hiburan,synthetic
Firs Media,4,tagihan,synthetic
Biaya Kos,4,tagihan,synthetic
Frappe,1,minuman,synthetic
Hazelnut Latte,1,minuman,synthetic
Steak,0,makanan,synthetic
CABUT GIGI,6,kesehatan,synthetic
Asuransi,4,tagihan,synthetic
Top Up Genshin,5,hiburan,synthetic
zakat,7,lain_lain,synthetic
2xEarl Grey,1,minuman,synthetic
taro latte,1,minuman,synthetic
Ojek,2,transportasi,synthetic
2 Kopi Espresso,1,minuman,synthetic
LRT,2,transportasi,synthetic
Calpico,1,minuman,synthetic
