mean_makanan,std_makanan,max_makanan,zero_pct_makanan,trend_makanan,mean7_last_makanan,spike_last7_makanan,rasio_akhir_awal_makanan,mean_minuman,std_minuman,max_minuman,zero_pct_minuman,trend_minuman,mean7_last_minuman,spike_last7_minuman,rasio_akhir_awal_minuman,mean_transportasi,std_transportasi,max_transportasi,zero_pct_transportasi,trend_transportasi,mean7_last_transportasi,spike_last7_transportasi,rasio_akhir_awal_transportasi,mean_belanja,std_belanja,max_belanja,zero_pct_belanja,trend_belanja,mean7_last_belanja,spike_last7_belanja,rasio_akhir_awal_belanja,mean_tagihan,std_tagihan,max_tagihan,zero_pct_tagihan,trend_tagihan,mean7_last_tagihan,spike_last7_tagihan,rasio_akhir_awal_tagihan,mean_hiburan,std_hiburan,max_hiburan,zero_pct_hiburan,trend_hiburan,mean7_last_hiburan,spike_last7_hiburan,rasio_akhir_awal_hiburan,mean_kesehatan,std_kesehatan,max_kesehatan,zero_pct_kesehatan,trend_kesehatan,mean7_last_kesehatan,spike_last7_kesehatan,rasio_akhir_awal_kesehatan,mean_lain_lain,std_lain_lain,max_lain_lain,zero_pct_lain_lain,trend_lain_lain,mean7_last_lain_lain,spike_last7_lain_lain,rasio_akhir_awal_lain_lain,total_mean_30hari,total_std_30hari,total_mean_7hari,total_trend
38.493,7.509378,50.680717,0.0,-4.402767,36.177197,0.0,1.0038168,16.838722,8.52192,28.97431,0.13333333333333333,8.224595,22.076267,0.0,1.3215852,16.204947,9.182248,29.202265,0.2,5.5398436,18.056082,0.0,0.9934704,25.998526,49.06482,190.08533,0.7,-58.975544,6.311284,0.0,0.43016842,25.290646,74.43357,310.28116,0.8666666666666667,0.0,0.0,0.0,0.0,8.199998,15.544104,48.121857,0.7666666666666667,-1.8262544,5.0482965,1.0,0.8847222,16.809025,44.563,160.13046,0.8666666666666667,12.015205,12.015205,1.0,0.26466456,4.741716,9.23006,27.522648,0.7666666666666667,1.9622471,3.5416968,1.0,0.67096895,152.57658,99.81675,103.22602,-37.462685
38.000103,7.4962015,50.680717,0.0,-5.5451164,35.719112,0.0,0.9717678,16.899797,8.498979,28.97431,0.13333333333333333,2.8020916,20.407057,0.0,1.1939605,16.583197,9.315048,29.202265,0.2,4.6153927,19.402065,0.0,0.982129,25.998524,49.06482,190.08533,0.7,-35.164967,6.311284,0.0,0.43016842,35.687183,90.272026,311.89612,0.8333333333333334,44.556587,44.556587,1.0,0.41108233,8.199998,15.544104,48.121857,0.7666666666666667,-1.8262544,5.0482965,1.0,0.37460342,11.553873,36.14435,160.13046,0.9,12.015205,12.015205,1.0,0.52523696,4.741716,9.23006,27.522648,0.7666666666666667,3.5416968,3.5416968,1.0,0.67096895,157.66438,107.25729,147.0013,24.994621
38.182957,7.4162107,50.680717,0.0,-1.3010864,36.938198,0.0,0.92751276,17.01165,8.472761,28.97431,0.13333333333333333,-3.0984936,18.645658,0.0,1.2803549,16.28915,9.277511,29.202265,0.2,2.9283266,18.157732,0.0,0.91551024,26.688316,48.839413,190.08533,0.6666666666666666,-5.0536633,9.267541,0.0,0.29303235,28.378572,83.75439,311.89612,0.8666666666666667,44.556587,44.556587,1.0,0.57816243,8.199998,15.544104,48.121857,0.7666666666666667,-1.8262544,5.0482965,1.0,0.37460342,11.553873,36.14435,160.13046,0.9,12.015205,12.015205,1.0,0.52523696,5.4546604,9.65263,27.522648,0.7333333333333333,6.597174,6.597174,1.0,1.2498244,151.75919,104.841866,151.2264,54.817787
38.19831,7.417407,50.680717,0.0,-1.911232,37.369152,0.0,0.9063631,17.163439,8.451137,28.97431,0.13333333333333333,-3.8938465,17.60254,0.0,1.2533375,16.302652,9.287851,29.202265,0.2,0.18971825,17.537409,0.0,1.0333877,24.383734,48.411316,190.08533,0.7,1.9741716,9.267541,0.0,0.4261025,23.20875,69.82198,311.89612,0.8666666666666667,66.72608,66.72608,1.0,2.0380607,8.199998,15.544104,48.121857,0.7666666666666667,-1.8262544,5.0482965,1.0,0.28960815,11.553873,36.14435,160.13046,0.9,12.015205,12.015205,1.0,0.52523696,5.4546604,9.65263,27.522648,0.7333333333333333,6.597174,6.597174,1.0,0.752173,144.4654,90.08045,172.1634,79.871025
38.693256,7.2848053,50.680717,0.0,-1.8706665,37.402164,0.0,0.9061793,16.923883,8.517646,28.97431,0.13333333333333333,-6.1407013,15.587954,0.0,1.1828829,15.585239,9.679905,29.202265,0.23333333333333334,2.4360323,17.537409,0.0,1.0728366,26.497185,53.13847,190.08533,0.7,13.738807,27.34346,1.0,2.302313,23.20875,69.82198,311.89612,0.8666666666666667,66.72608,66.72608,1.0,2.0380607,9.517414,16.442188,48.121857,0.7333333333333333,3.8198156,10.694366,1.0,0.46056697,11.553873,36.14435,160.13046,0.9,-12.015205,0.0,0.0,0.52523696,5.4546604,9.65263,27.522648,0.7333333333333333,6.597174,6.597174,1.0,0.5193551,147.43428,92.511116,181.88863,73.29135
39.360767,7.4966106,51.38475,0.0,1.6709633,39.87843,0.0,0.949588,17.870989,8.155125,28.97431,0.1,-2.6186142,18.173298,0.0,1.0362262,14.611831,9.7297945,27.950401,0.26666666666666666,-2.1346493,14.216856,0.0,1.0306089,27.347008,52.911293,190.08533,0.6666666666666666,17.380901,30.985556,1.0,2.5514681,25.859438,70.39765,311.89612,0.8333333333333334,78.086174,78.086174,1.0,2.3850398,9.517414,16.442188,48.121857,0.7333333333333333,0.5977745,5.646071,1.0,0.46056697,13.644648,37.213833,160.13046,0.8666666666666667,-3.0547428,8.960463,1.0,0.55933046,5.127497,9.665625,27.522648,0.7666666666666667,-0.48621964,3.0554771,1.0,0.5837949,153.33958,93.056526,199.00233,89.4416
39.09428,7.780839,51.38475,0.0,3.014019,39.64372,0.0,0.946779,17.371021,8.753679,28.97431,0.13333333333333333,-5.5914745,15.308321,0.0,0.9003537,15.112026,9.343823,27.950401,0.23333333333333334,-3.206892,12.934675,0.0,0.8492992,27.347008,52.911293,190.08533,0.6666666666666666,24.67427,30.985556,1.0,2.5514681,19.173405,62.576584,311.89612,0.8666666666666667,78.086174,78.086174,1.0,19.112717,8.016887,15.13634,48.121857,0.7666666666666667,0.5977745,5.646071,1.0,0.63698006,8.306965,25.44238,102.37927,0.9,-3.0547428,8.960463,1.0,1.434174,5.127497,9.665625,27.522648,0.7666666666666667,-0.48621964,3.0554771,1.0,0.4781127,139.54909,76.370224,194.62045,94.03291
39.16779,7.721073,51.38475,0.0,1.5262985,37.703495,0.0,0.9279286,17.328987,8.717114,28.97431,0.13333333333333333,-5.902239,16.174028,0.0,1.0431261,16.114822,9.282288,30.083885,0.2,-2.738224,15.317858,0.0,1.0347579,27.347008,52.911293,190.08533,0.6666666666666666,24.67427,30.985556,1.0,0.8063197,27.963446,76.28525,311.89612,0.8333333333333334,115.757774,115.757774,1.0,28.333384,7.027673,14.650417,48.121857,0.8,0.5977745,5.646071,1.0,0.8521624,8.306965,25.44238,102.37927,0.9,-3.0547428,8.960463,1.0,0.6126556,5.127497,9.665625,27.522648,0.7666666666666667,-0.48621964,3.0554771,1.0,0.42900592,148.38419,84.65963,233.60072,130.3747
38.99636,7.691924,51.38475,0.0,2.9511833,38.670296,0.0,0.9207257,17.776865,8.723469,28.97431,0.13333333333333333,-2.8321438,17.574913,0.0,1.2200376,16.447475,9.540062,30.083885,0.2,-3.6201,15.781965,0.0,1.0659803,27.347012,52.91129,190.08533,0.6666666666666666,24.67427,30.985556,1.0,0.4724602,27.963446,76.28525,311.89612,0.8333333333333334,26.6446,71.20119,1.0,28.333384,7.027673,14.650417,48.121857,0.8,0.5977745,5.646071,1.0,0.44989756,8.306965,25.44238,102.37927,0.9,-3.0547428,8.960463,1.0,0.6126556,4.223015,8.794258,27.522648,0.8,-0.48621964,3.0554771,1.0,0.2656599,148.08882,84.84444,191.87595,44.87465
38.334732,7.861004,51.38475,0.0,0.1865654,37.124763,0.0,0.95770043,16.95306,9.184223,28.97431,0.16666666666666666,-3.448533,15.197125,0.0,1.0626748,16.330275,9.492624,30.083885,0.2,-1.6228504,16.534882,0.0,1.0917877,27.347012,52.91129,190.08533,0.6666666666666666,18.761757,28.029299,1.0,0.42673212,27.010149,76.44986,311.89612,0.8666666666666667,26.6446,71.20119,1.0,0.0,6.372927,14.510272,48.121857,0.8333333333333334,0.5977745,5.646071,1.0,0.5794628,8.306965,25.44238,102.37927,0.9,-3.0547428,8.960463,1.0,0.6126556,4.2230153,8.794258,27.522648,0.8,-6.597174,0.0,0.0,0.2656599,144.87814,86.83012,182.6938,31.467407
