belanja_daily_avg,belanja_pct_used,belanja_pred_vs_sisa,belanja_proj_pct,days_remaining,hiburan_daily_avg,hiburan_pct_used,hiburan_pred_vs_sisa,hiburan_proj_pct,kesehatan_daily_avg,kesehatan_pct_used,kesehatan_pred_vs_sisa,kesehatan_proj_pct,lain_lain_daily_avg,lain_lain_pct_used,lain_lain_pred_vs_sisa,lain_lain_proj_pct,makanan_daily_avg,makanan_pct_used,makanan_pred_vs_sisa,makanan_proj_pct,minuman_daily_avg,minuman_pct_used,minuman_pred_vs_sisa,minuman_proj_pct,profile,proj_overall_pct,saldo_pct,tagihan_daily_avg,tagihan_pct_used,tagihan_pred_vs_sisa,tagihan_proj_pct,total_pred7d_pct,transportasi_daily_avg,transportasi_pct_used,transportasi_pred_vs_sisa,transportasi_proj_pct,overall_label_id,label_makanan,label_minuman,label_transportasi,label_belanja,label_tagihan,label_hiburan,label_kesehatan,label_lain_lain
0.72708523,0.41201496,0.2644383,0.72708523,0.43333334,1.1804233,0.66890657,0.7874176,1.1804233,0.8769414,,0.35788226,0.8769414,1.0208654,0.57849044,0.5683339,1.0208654,0.7130612,0.40406802,0.24366143,0.7130612,0.8294986,0.4700492,0.31897092,0.8294986,0.5,0.81058335,0.5023824,0.0,,0.06789062,0.7994489,0.15600422,0.758812,0.42999348,0.30216554,0.758812,1,1,1,1,1,1,3,2,2
1.5015726,0.25026208,0.4533288,1.5015726,0.8333333,,0.1741565,0.33565843,1.044939,0.93735474,0.15622579,0.30344963,0.93735474,1.1796066,0.1966011,0.3737414,1.1796066,1.7470028,0.29116714,0.6517229,1.7470028,,0.25906754,0.42555428,1.5544051,1.0,1.4186921,0.66978043,0.0,0.97553027,0.06398371,0.9770959,0.32343298,1.5075728,0.25126213,,1.5075728,4,4,4,4,4,2,2,2,3
0.32393873,0.17276731,0.10464271,0.32393873,0.46666667,0.38939443,0.20767704,0.10600367,0.38939443,0.3780663,0.20163536,0.11657499,0.3780663,0.23402654,0.12481415,0.072057694,0.23402654,0.31941414,0.17035422,0.098062485,0.31941414,0.3419498,0.18237323,0.108174,,0.0,,0.82315826,0.0,0.2303789,0.0041291974,0.23355682,0.06869128,0.2780269,0.14828102,0.064463824,0.2780269,0,0,0,0,0,0,0,0,0
1.1643279,0.2716765,0.32871106,1.1643279,0.76666665,1.662851,0.38799855,0.73046714,1.662851,1.2836163,0.29951048,0.36010107,1.2836163,1.6843356,0.39301163,0.6362209,1.6843356,,0.42462102,0.7566635,1.8198043,1.7260597,0.40274724,0.7270702,1.7260597,1.0,1.5955733,0.48419508,0.0,1.6327976,2.0,1.6675369,0.33512193,1.5900695,,0.59926647,1.5900695,4,4,4,4,3,4,4,3,4
1.0798985,0.79192555,1.1253511,1.0798985,0.26666668,1.7678727,1.2964399,2.0,1.7678727,1.1676465,0.8562741,1.7324831,1.1676465,1.6577613,1.2156917,2.0,1.6577613,1.634629,1.198728,2.0,,1.6256634,1.1921531,,1.6256634,1.0,1.4699264,0.0,0.0,1.662955,2.0,1.6811365,0.2999763,1.2792919,0.93814737,3.0,1.2792919,4,4,4,3,3,4,4,3,4
0.69327545,0.09243672,0.19951105,0.69327545,0.8666667,0.57786846,0.07704912,0.16703363,0.57786846,0.5746578,0.07662104,0.15747789,0.5746578,0.49552846,0.06607046,0.13912989,0.49552846,0.49876472,0.06650196,0.13978605,,0.6288103,0.08384137,,0.6288103,0.0,0.57797104,0.8908672,0.0,0.3260524,0.051622175,0.36084306,0.14216204,0.70631605,0.09417547,0.20497033,0.70631605,1,0,1,1,1,0,1,1,0
0.49171436,0.1475143,0.15614323,0.49171436,0.7,0.8143259,0.24429777,0.2741594,0.8143259,0.68138444,0.20441534,0.16659789,0.68138444,0.57870567,0.1736117,,0.57870567,0.5982755,0.17948264,0.17389026,0.5982755,0.6867424,,0.20421287,0.6867424,0.0,0.55649376,0.80465096,0.0,0.35911292,0.027244236,0.3765734,0.12736543,0.44071874,0.13221562,0.13733059,0.44071874,1,1,1,0,0,0,1,1,1
0.84262574,0.6179255,0.52334887,0.84262574,0.26666668,0.9756107,0.71544784,0.82876146,0.9756107,0.955282,0.70054007,0.8652469,0.955282,0.73846394,0.5415402,0.3659787,0.73846394,0.93887997,0.68851197,0.61295325,0.93887997,0.89563996,0.65680265,0.5764041,0.89563996,0.5,,0.30434534,0.0,1.0651789,2.0,,,0.8248054,0.6048573,0.4496572,0.8248054,2,2,2,1,1,3,2,2,1
0.6783516,0.06783516,0.19377695,0.6783516,0.9,0.58710617,0.05871062,0.13487817,0.58710617,1.0282289,0.102822885,0.31407064,1.0282289,0.8137892,0.081378914,0.2229138,,0.7188243,0.071882434,0.14569008,0.7188243,1.0211608,0.102116086,0.3108344,1.0211608,0.5,0.73742014,0.89627874,0.0,0.2934177,0.060229123,0.3359745,0.17796525,0.82758504,0.0827585,0.24956761,,1,1,2,1,1,0,1,2,1
0.53383017,,,0.53383017,0.13333334,0.54063755,0.46855253,0.14497238,0.54063755,0.5001869,0.43349534,0.14041452,0.5001869,0.5089206,,0.13786128,0.5089206,0.45416972,0.39361376,0.09012525,0.45416972,0.3599062,0.3119187,,0.3599062,0.0,0.47952667,0.57712954,0.0,0.6157507,0.05705594,0.6376744,0.054964606,0.40393522,0.35007718,0.06864618,0.40393522,0,0,0,0,1,1,1,1,1
